Comuna;% nunca;% profe;aep1;aep2;edad_5_14;edad_15_64;edad_65_mas
Santa Bárbara;48.1;18.25;8.9;10.3;320.0;252.0;369.0
Tucapel;29.5;19.07;9.3;10.6;363.0;239.0;286.0
Yumbel;0.05;20.07;9.2;10.3;437.0;505.0;684.0
Alto Biobío;124.83;8.86;7.2;8.4;174.0;347.0;276.0
Temuco;2.5;37.29;11.0;12.9;6.03;2.11;1.891
Carahue;4.98;14.24;8.4;9.6;571.0;585.0;626.0
Cunco;33.84;17.09;9.1;10.3;422.0;239.0;368.0
Curarrehue;42.8;13.94;8.4;9.7;196.0;135.0;179.0
Freire;3.97;16.26;8.8;10.0;559.0;484.0;596.0
Galvarino;67.35;11.65;8.0;9.2;256.0;338.0;493.0
Gorbea;32.87;19.09;9.2;10.4;311.0;221.0;238.0
Lautaro;3.96;20.96;9.3;11.0;1.005;608.0;710.0
Loncoche;33.23;17.5;9.1;10.4;578.0;363.0;423.0
Melipeuco;38.11;17.83;8.9;10.2;169.0;106.0;164.0
Nueva Imperial;4.48;17.98;8.9;10.3;764.0;580.0;804.0
Padre Las Casas;3.89;20.79;9.3;11.0;2.022;1.132;1.19
Perquenco;43.02;15.92;8.8;10.2;155.0;115.0;166.0
Pitrufquén;30.81;21.64;9.5;11.0;645.0;347.0;400.0
Pucón;29.98;29.69;10.2;12.1;827.0;218.0;230.0
Saavedra;55.21;11.14;8.1;9.2;306.0;329.0;390.0
Teodoro Schmidt;43.1;12.5;8.3;9.4;327.0;285.0;402.0
Toltén;42.53;14.89;8.6;9.7;227.0;197.0;242.0
Vilcún;3.6;19.7;9.2;10.7;766.0;474.0;547.0
Villarrica;3.19;26.1;9.9;11.7;1.694;551.0;579.0
Cholchol;54.45;14.7;8.3;9.7;371.0;311.0;421.0
Angol;0.35;23.51;9.6;11.2;1.201;813.0;970.0
Collipulli;4.79;14.06;8.6;9.9;549.0;513.0;610.0
Curacautín;34.15;20.01;9.3;10.6;418.0;249.0;342.0
Ercilla;59.12;12.83;8.2;9.5;200.0;208.0;257.0
Lonquimay;64.02;14.36;8.2;9.6;225.0;172.0;332.0
Los Sauces;57.29;13.94;8.2;9.3;181.0;208.0;266.0
Lumaco;73.71;10.16;7.7;8.6;224.0;322.0;398.0
Purén;42.1;15.98;8.5;9.7;292.0;310.0;324.0
Renaico;42.3;16.41;8.7;10.1;227.0;254.0;246.0
Traiguén;45.57;17.76;8.8;10.2;435.0;392.0;504.0
Victoria;3.64;21.54;9.4;10.9;802.0;493.0;585.0
Valdivia;2.05;35.96;11.0;12.7;3.401;1.283;1.104
Corral;36.54;16.02;9.0;10.1;122.0;79.0;97.0
Lanco;34.01;19.53;9.3;10.7;389.0;196.0;262.0
Los Lagos;43.77;16.54;8.9;10.3;533.0;371.0;450.0
Máfil;35.79;20.52;9.3;10.7;197.0;99.0;137.0
Mariquina;35.48;17.6;9.0;10.6;561.0;311.0;348.0
Paillaco;40.5;18.6;9.0;10.3;430.0;321.0;419.0
Panguipulli;0.49;17.87;8.8;10.2;849.0;650.0;824.0
La Unión;3.29;23.43;9.5;10.9;789.0;524.0;636.0
Futrono;43.04;16.69;8.7;10.1;420.0;275.0;306.0
Lago Ranco;48.83;16.28;8.5;9.8;265.0;220.0;203.0
Río Bueno;3.65;19.96;9.1;10.4;668.0;523.0;605.0
Puerto Montt;2.71;29.83;10.3;12.1;6.217;2.466;2.238
Calbuco;4.02;15.7;8.7;10.0;779.0;701.0;867.0
Cochamó;43.11;17.05;8.8;9.9;80.0;77.0;70.0
Fresia;46.27;14.66;8.5;9.6;283.0;291.0;257.0
Frutillar;34.72;23.83;9.5;11.1;495.0;272.0;262.0
Los Muermos;42.77;14.79;8.5;9.5;338.0;313.0;341.0
Llanquihue;34.39;23.53;9.6;11.0;414.0;231.0;294.0
Maullín;35.65;13.56;8.7;9.7;293.0;318.0;267.0
Puerto Varas;2.7;38.0;10.8;13.0;1.222;420.0;359.0
Castro;2.54;25.26;10.0;11.6;965.0;445.0;409.0
Ancud;2.71;21.09;9.5;10.9;813.0;548.0;538.0
Chonchi;31.78;18.94;9.1;10.4;315.0;229.0;240.0
Curaco de Vélez;34.13;18.05;9.0;10.1;52.0;48.0;69.0
Dalcahue;31.02;15.83;8.9;10.3;282.0;171.0;203.0
Puqueldón;25.44;13.27;8.6;9.6;63.0;51.0;74.0
Queilén;37.08;15.27;8.5;9.5;102.0;111.0;122.0
Quellón;0.44;14.31;8.7;10.2;682.0;477.0;406.0
Quemchi;29.85;13.16;8.6;9.5;151.0;172.0;195.0
Quinchao;28.0;18.03;8.9;9.9;121.0;160.0;191.0
Osorno;2.79;29.09;10.2;11.8;3.376;1.819;1.656
Puerto Octay;37.11;16.81;8.9;10.1;162.0;151.0;159.0
Purranque;34.44;19.18;9.0;10.2;392.0;276.0;339.0
Puyehue;43.12;17.2;8.9;10.2;251.0;170.0;233.0
Río Negro;34.53;18.95;9.1;10.3;272.0;256.0;253.0
San Juan de la Costa;59.16;9.43;7.9;8.6;138.0;213.0;284.0
San Pablo;36.02;18.4;9.0;10.1;233.0;190.0;223.0
Chaitén;46.46;20.65;9.1;10.4;86.0;64.0;71.0
Futaleufú;41.48;27.2;9.8;11.6;77.0;18.0;36.0
Hualaihué;35.86;16.31;8.7;10.0;221.0;198.0;193.0
Palena;40.46;22.23;9.3;10.5;31.0;16.0;33.0
Coyhaique;2.72;31.17;10.2;12.1;1.333;476.0;647.0
Lago Verde;74.45;16.3;8.8;9.6;15.0;14.0;26.0
Aysén;29.09;23.93;9.6;11.2;497.0;258.0;299.0
Cisnes;28.62;22.7;9.5;11.0;132.0;51.0;79.0
Guaitecas;33.17;17.71;9.0;10.4;22.0;26.0;24.0
Cochrane;45.98;27.47;9.5;11.3;86.0;31.0;67.0
O'Higgins;46.37;26.74;9.6;11.5;13.0;6.0;5.0
Tortel;53.47;27.52;9.5;11.5;13.0;7.0;6.0
Chile Chico;30.78;25.81;9.5;11.0;112.0;47.0;85.0
Río Ibáñez;45.91;23.5;9.3;10.5;55.0;25.0;67.0
Punta Arenas;1.64;33.79;10.8;12.5;2.566;619.0;662.0
Laguna Blanca;26.02;28.25;11.2;11.9;1.0;1.0;2.0
Río Verde;58.82;23.53;9.4;9.9;0.0;6.0;3.0
San Gregorio;37.34;24.9;10.0;11.1;2.0;2.0;2.0
Cabo de Hornos;10.86;41.26;10.7;13.6;65.0;4.0;3.0
Antártica;0.0;90.0;15.0;15.0;0.0;0.0;0.0
Porvenir;19.97;25.98;9.9;11.7;161.0;43.0;38.0
Primavera;18.56;18.79;9.4;11.0;8.0;3.0;1.0
Timaukel;38.22;38.85;10.7;12.4;2.0;0.0;1.0
Natales;20.91;27.76;10.1;11.7;484.0;147.0;204.0
Torres del Paine;29.56;37.44;11.1;12.4;3.0;2.0;2.0
