Comuna;Poblacion censada;Nunca asistio;Diferencial;Parvularia;Basica;Media;Superior;Nivel educativo no declarado
Chaitén;4.025;187.0;6.0;145.0;1.514;1.280;831;62.0
Futaleufú;3.062;127.0;7.0;160.0;896;1.025;833;14.0
Hualaihué;9.480;340.0;21.0;461.0;3.739;3.348;1.546;25.0
Palena;1.903;77.0;6.0;80.0;696;618;423;3.0
Coyhaique;57.823;1.571;273.0;3.203;15.451;18.914;18.024;387.0
Lago Verde;779;58.0;1.0;20.0;269;301;127;3.0
Aysén;23.170;674.0;112.0;1.167;7.109;8.403;5.544;161.0
Cisnes;5.137;147.0;3.0;269.0;1.744;1.792;1.166;16.0
Guaitecas;1.598;53.0;4.0;82.0;612;563;283;1.0
Cochrane;3.458;159.0;3.0;228.0;1.038;1.074;950;6.0
O'Higgins;647;30.0;3.0;35.0;195;209;173;2.0
Tortel;505;27.0;0.0;32.0;154;153;139;0.0
Chile Chico;4.905;151.0;15.0;241.0;1.594;1.611;1.266;27.0
Río Ibáñez;2.723;125.0;5.0;131.0;947;868;640;7.0
Punta Arenas;132.363;2.174;716.0;6.19;27.711;49.803;44.727;1.042
Laguna Blanca;269;7.0;0.0;2.0;53;121;76;10.0
Río Verde;102;6.0;1.0;0.0;43;28;24;0.0
San Gregorio;241;9.0;0.0;5.0;75;92;60;0.0
Cabo de Hornos;1.750;19.0;1.0;167.0;363;467;722;11.0
Antártica;60;0.0;0.0;0.0;0;6;54;0.0
Porvenir;6.809;136.0;10.0;383.0;1.911;2.589;1.769;11.0
Primavera;431;8.0;0.0;18.0;144;180;81;0.0
Timaukel;157;6.0;0.0;8.0;43;39;61;0.0
Natales;24.152;505.0;105.0;1.184;6.276;9.242;6.705;135.0
Torres del Paine;203;6.0;0.0;7.0;42;72;76;0.0
