Codigo region;Region;Codigo provincia;Provincia;Codigo comuna;Comuna;Sexo;Anos de escolaridad promedio;Anos de escolaridad promedio para la poblacion de 18 anos o mas
5;Valparaíso;57;San Felipe de Aconcagua;5706;Santa María;Mujer;9,7;11,1
5;Valparaíso;58;Marga Marga;5801;Quilpué;Total Comuna;11,2;12,9
5;Valparaíso;58;Marga Marga;5801;Quilpué;Hombre;11,2;13,1
5;Valparaíso;58;Marga Marga;5801;Quilpué;Mujer;11,3;12,8
5;Valparaíso;58;Marga Marga;5802;Limache;Total Comuna;10,3;12,1
5;Valparaíso;58;Marga Marga;5802;Limache;Hombre;10,2;12,1
5;Valparaíso;58;Marga Marga;5802;Limache;Mujer;10,4;12,1
5;Valparaíso;58;Marga Marga;5803;Olmué;Total Comuna;10,0;11,6
5;Valparaíso;58;Marga Marga;5803;Olmué;Hombre;9,8;11,4
5;Valparaíso;58;Marga Marga;5803;Olmué;Mujer;10,2;11,7
5;Valparaíso;58;Marga Marga;5804;Villa Alemana;Total Comuna;11,0;12,9
5;Valparaíso;58;Marga Marga;5804;Villa Alemana;Hombre;11,0;13,1
5;Valparaíso;58;Marga Marga;5804;Villa Alemana;Mujer;11,1;12,8
13;Metropolitana de Santiago;131;Santiago;13101;Santiago;Total Comuna;12,4;14,0
13;Metropolitana de Santiago;131;Santiago;13101;Santiago;Hombre;12,4;13,9
13;Metropolitana de Santiago;131;Santiago;13101;Santiago;Mujer;12,5;14,1
13;Metropolitana de Santiago;131;Santiago;13102;Cerrillos;Total Comuna;10,0;11,8
13;Metropolitana de Santiago;131;Santiago;13102;Cerrillos;Hombre;10,0;11,9
13;Metropolitana de Santiago;131;Santiago;13102;Cerrillos;Mujer;10,1;11,7
13;Metropolitana de Santiago;131;Santiago;13103;Cerro Navia;Total Comuna;9,3;10,7
13;Metropolitana de Santiago;131;Santiago;13103;Cerro Navia;Hombre;9,3;10,8
13;Metropolitana de Santiago;131;Santiago;13103;Cerro Navia;Mujer;9,2;10,6
13;Metropolitana de Santiago;131;Santiago;13104;Conchalí;Total Comuna;10,1;11,7
13;Metropolitana de Santiago;131;Santiago;13104;Conchalí;Hombre;10,1;11,7
13;Metropolitana de Santiago;131;Santiago;13104;Conchalí;Mujer;10,1;11,6
13;Metropolitana de Santiago;131;Santiago;13105;El Bosque;Total Comuna;9,7;11,3
13;Metropolitana de Santiago;131;Santiago;13105;El Bosque;Hombre;9,7;11,3
13;Metropolitana de Santiago;131;Santiago;13105;El Bosque;Mujer;9,7;11,2
13;Metropolitana de Santiago;131;Santiago;13106;Estación Central;Total Comuna;10,7;12,5
13;Metropolitana de Santiago;131;Santiago;13106;Estación Central;Hombre;10,6;12,5
13;Metropolitana de Santiago;131;Santiago;13106;Estación Central;Mujer;10,7;12,5
13;Metropolitana de Santiago;131;Santiago;13107;Huechuraba;Total Comuna;10,9;12,9
13;Metropolitana de Santiago;131;Santiago;13107;Huechuraba;Hombre;10,9;13,1
13;Metropolitana de Santiago;131;Santiago;13107;Huechuraba;Mujer;10,9;12,8
13;Metropolitana de Santiago;131;Santiago;13108;Independencia;Total Comuna;10,9;12,9
13;Metropolitana de Santiago;131;Santiago;13108;Independencia;Hombre;10,9;12,9
13;Metropolitana de Santiago;131;Santiago;13108;Independencia;Mujer;11,0;12,8
